delta,epsilon_2_pct,epsilon_3_pct,epsilon_4_pct,epsilon_5_pct,epsilon_10_pct
0.0000005,-21.66,18.47,20.79,41.95,22.98
0.000001,-21.02,19.05,21.41,17.99,48.56
0.000005,27.18,58.14,71.70,77.19,92.74
0.00001,33.70,58.67,71.95,81.07,93.27
0.00005,27.27,59.64,71.71,85.10,82.67
0.0001,24.87,58.31,71.70,83.19,84.14
0.0005,24.79,58.30,77.54,84.93,84.14
0.001,24.70,58.28,77.54,84.93,84.14
0.005,24.13,58.15,77.51,84.92,84.14
0.01,23.51,58.42,77.60,86.09,84.14
0.02,22.43,58.18,77.67,86.08,84.14
0.05,19.65,57.55,77.53,86.04,84.14
0.1,15.67,56.64,77.33,85.98,84.14
0.15,21.13,55.83,77.14,85.93,84.14
0.25,15.22,54.39,76.79,85.85,84.16
