delta,epsilon,best_k
5e-7,0.1,1
5e-7,0.25,19
5e-7,0.5,20
5e-7,0.75,18
5e-7,1,14
5e-7,2,13
5e-7,3,14
5e-7,4,9
5e-7,5,14
5e-7,10,9
1e-6,0.1,9
1e-6,0.25,20
1e-6,0.5,20
1e-6,0.75,18
1e-6,1,14
1e-6,2,12
1e-6,3,18
1e-6,4,14
1e-6,5,13
1e-6,10,9
5e-6,0.1,4
5e-6,0.25,20
5e-6,0.5,20
5e-6,0.75,17
5e-6,1,16
5e-6,2,17
5e-6,3,18
5e-6,4,18
5e-6,5,14
5e-6,10,9
1e-5,0.1,2
1e-5,0.25,20
1e-5,0.5,20
1e-5,0.75,16
1e-5,1,16
1e-5,2,18
1e-5,3,18
1e-5,4,14
1e-5,5,14
1e-5,10,9
5e-5,0.1,1
5e-5,0.25,20
5e-5,0.5,18
5e-5,0.75,16
5e-5,1,16
5e-5,2,17
5e-5,3,18
5e-5,4,18
5e-5,5,14
5e-5,10,4
1e-4,0.1,4
1e-4,0.25,20
1e-4,0.5,16
1e-4,0.75,17
1e-4,1,18
1e-4,2,8
1e-4,3,19
1e-4,4,19
1e-4,5,14
1e-4,10,9
5e-4,0.1,1
5e-4,0.25,20
5e-4,0.5,13
5e-4,0.75,9
5e-4,1,18
5e-4,2,8
5e-4,3,19
5e-4,4,9
5e-4,5,9
5e-4,10,9
1e-3,0.1,1
1e-3,0.25,20
1e-3,0.5,12
1e-3,0.75,8
1e-3,1,18
1e-3,2,8
1e-3,3,19
1e-3,4,9
1e-3,5,9
1e-3,10,9
5e-3,0.1,20
5e-3,0.25,13
5e-3,0.5,8
5e-3,0.75,6
5e-3,1,13
5e-3,2,8
5e-3,3,19
5e-3,4,9
5e-3,5,9
5e-3,10,9
0.01,0.1,18
0.01,0.25,11
0.01,0.5,7
0.01,0.75,5
0.01,1,4
0.01,2,8
0.01,3,9
0.01,4,9
0.01,5,14
0.01,10,9
0.02,0.1,13
0.02,0.25,8
0.02,0.5,6
0.02,0.75,4
0.02,1,4
0.02,2,8
0.02,3,9
0.02,4,9
0.02,5,14
0.02,10,9
0.05,0.1,7
0.05,0.25,5
0.05,0.5,4
0.05,0.75,3
0.05,1,3
0.05,2,8
0.05,3,9
0.05,4,9
0.05,5,14
0.05,10,9
0.1,0.1,4
0.1,0.25,3
0.1,0.5,2
0.1,0.75,2
0.1,1,2
0.1,2,8
0.1,3,9
0.1,4,9
0.1,5,14
0.1,10,9
0.15,0.1,2
0.15,0.25,2
0.15,0.5,2
0.15,0.75,1
0.15,1,2
0.15,2,9
0.15,3,9
0.15,4,9
0.15,5,14
0.15,10,9
0.25,0.1,1
0.25,0.25,1
0.25,0.5,1
0.25,0.75,1
0.25,1,1
0.25,2,9
0.25,3,9
0.25,4,9
0.25,5,14
0.25,10,9
